# tau_n,Omegabh2,p_npdg,p_dpHe3g,Yp,DoH,He3oH,Li7oH
8.799080e+02,2.238434e-02,6.216013e-01,4.203228e-01,2.471434e-01,2.508473e+00,1.048732e+00,5.416249e+00
8.790574e+02,2.210622e-02,-3.724925e-02,8.256710e-01,2.468498e-01,2.552082e+00,1.058461e+00,5.287518e+00
8.798883e+02,2.235289e-02,1.975563e-01,-8.057182e-01,2.471270e-01,2.536076e+00,1.038357e+00,5.290966e+00
8.800411e+02,2.258694e-02,-1.185185e+00,-3.451569e-01,2.472544e-01,2.486422e+00,1.035490e+00,5.409486e+00
8.795397e+02,2.236993e-02,-2.186442e+00,-2.703818e+00,2.470449e-01,2.572555e+00,1.020539e+00,5.081321e+00
8.795406e+02,2.224357e-02,1.500811e-01,-6.214620e-01,2.470120e-01,2.555528e+00,1.042768e+00,5.243018e+00
8.795622e+02,2.222393e-02,3.239903e-01,-5.244149e-01,2.470027e-01,2.554538e+00,1.043844e+00,5.252767e+00
8.788820e+02,2.223845e-02,1.209265e+00,-1.019585e+00,2.468643e-01,2.556004e+00,1.039427e+00,5.251093e+00
8.793115e+02,2.226191e-02,1.571336e+00,1.656122e-01,2.469715e-01,2.527024e+00,1.049412e+00,5.370533e+00
8.793085e+02,2.224333e-02,1.569998e+00,-5.594543e-02,2.469571e-01,2.539570e+00,1.048306e+00,5.334829e+00
8.796300e+02,2.243745e-02,-9.980236e-01,-2.259214e+00,2.471067e-01,2.553361e+00,1.023554e+00,5.176289e+00
8.799999e+02,2.204002e-02,-3.522650e-01,2.155080e-01,2.470053e-01,2.577726e+00,1.054984e+00,5.193028e+00
8.787649e+02,2.242930e-02,4.803343e-01,-9.283241e-01,2.469290e-01,2.526083e+00,1.035703e+00,5.319205e+00
8.793250e+02,2.224305e-02,2.531905e+00,4.856890e-01,2.469683e-01,2.524057e+00,1.053343e+00,5.416853e+00
8.802889e+02,2.235654e-02,1.480099e+00,-1.281851e+00,2.472142e-01,2.542856e+00,1.035019e+00,5.293294e+00
8.789538e+02,2.213095e-02,1.119397e+00,3.000654e-02,2.468385e-01,2.560305e+00,1.051740e+00,5.269601e+00
8.789066e+02,2.249929e-02,-3.877880e-01,-2.831633e-01,2.469823e-01,2.499029e+00,1.038445e+00,5.393879e+00
8.795214e+02,2.248685e-02,-8.831996e-01,3.031019e-01,2.471010e-01,2.491064e+00,1.043838e+00,5.418545e+00
8.799066e+02,2.244394e-02,7.889079e-01,1.246973e-01,2.471701e-01,2.497304e+00,1.043956e+00,5.442057e+00
